elapsed_S,supply_V,current_A,BMF_resistance
0.000000000000000000e+00,4.666245117187499680e+00,9.498291015625000278e-02,4.912720729983292500e+01
3.471013199941808125e-02,4.648496093750000391e+00,9.269677734374999478e-02,5.014733226929621424e+01
6.899166299990611151e-02,4.652404785156250000e+00,9.363281249999999556e-02,4.968776074259491082e+01
1.030231069998990279e-01,4.649804687499999645e+00,9.328906250000000566e-02,4.984297797504395788e+01
1.369953859993984224e-01,4.653789062499999574e+00,9.274658203124999667e-02,5.017747242622863979e+01
1.711159209999095765e-01,4.651806640624999822e+00,9.638427734375000500e-02,4.826312723219939471e+01
2.051163279993488686e-01,4.651452636718749645e+00,9.258496093750000211e-02,5.023982933749616819e+01
2.390943479995257803e-01,4.673598632812500320e+00,9.591357421875000566e-02,4.872718664569237745e+01
2.738307760000679991e-01,4.674353027343750355e+00,9.720507812499999678e-02,4.808753943217666205e+01
3.089888249996874947e-01,4.672575683593749751e+00,9.504931640625000067e-02,4.915948751932847216e+01
3.435374609998689266e-01,4.658977050781249574e+00,9.547509765624999367e-02,4.879782440815616695e+01
3.781186890000753920e-01,4.654108886718749893e+00,9.606347656249999978e-02,4.844826622208216094e+01
4.121659100001124898e-01,4.650979003906249964e+00,9.270898437499999756e-02,5.016751111298376031e+01
4.460307649997048429e-01,4.651838378906250071e+00,9.430761718749999800e-02,4.932622112228308708e+01
4.801767250000921194e-01,4.651943359375000142e+00,9.214208984374999689e-02,5.048662741710694490e+01
5.141169680000530207e-01,4.653325195312500107e+00,9.505810546875000100e-02,4.895242938375479724e+01
5.482176329996946151e-01,4.651901855468749680e+00,9.333837890625000522e-02,4.983911130641304510e+01
5.821795599995311932e-01,4.651796874999999609e+00,9.490478515625000444e-02,4.901540915288245515e+01
6.162088189994392451e-01,4.652172851562499822e+00,9.384423828125000588e-02,4.957334554328200937e+01
6.502228370000011637e-01,4.652485351562500426e+00,9.336376953125000155e-02,4.983180708021066607e+01
6.843581859993719263e-01,4.652375488281250249e+00,9.566406249999999389e-02,4.863242650061250316e+01
7.184714619997976115e-01,4.650549316406250355e+00,9.486132812500000511e-02,4.902471226502501622e+01
7.525048500001503271e-01,4.650036621093749822e+00,9.658789062500000577e-02,4.814306007724505321e+01
7.865140359999713837e-01,4.655195312500000071e+00,9.177783203125000622e-02,5.072243710131356664e+01
8.207582909999473486e-01,4.677568359374999929e+00,9.426806640625000344e-02,4.961986108017672592e+01
8.561545009997644229e-01,4.649780273437500000e+00,9.515136718750000222e-02,4.886719351362446417e+01
8.901838909996513394e-01,4.655705566406250107e+00,9.398828124999999978e-02,4.953495802335729792e+01
9.241860399997676723e-01,4.650444335937500284e+00,9.295800781249999312e-02,5.002736660748616515e+01
9.581639309999445686e-01,4.651721191406250178e+00,9.161816406249999323e-02,5.077291429058699634e+01
9.923429649998070090e-01,4.656030273437499645e+00,9.501464843750000167e-02,4.900328896654503552e+01
1.026352002999374236e+00,4.650520019531249716e+00,9.623974609374999489e-02,4.832223907782383776e+01
1.060324059999402380e+00,4.651291503906249680e+00,9.501074218749999689e-02,4.895542753183747209e+01
1.094454170000062732e+00,4.652604980468749929e+00,9.502099609375000422e-02,4.896396766750769558e+01
1.128437448999648041e+00,4.649589843750000284e+00,9.308789062500000266e-02,4.994838547239881876e+01
1.162554466000074171e+00,4.649895019531250284e+00,9.191503906249999523e-02,5.058905557739505809e+01
1.196740186000170070e+00,4.652980957031250142e+00,9.264062500000000422e-02,5.022613952605835408e+01
1.230836998999620846e+00,4.651931152343750320e+00,8.960107421874999312e-02,5.191825201767819209e+01
1.264969386999837297e+00,4.651835937499999574e+00,9.514501953124999967e-02,4.889205930502880904e+01
1.299055866999879072e+00,4.652939453124999680e+00,9.451220703125000344e-02,4.923109510696885849e+01
1.333173661999353499e+00,4.649028320312499574e+00,9.215869140625000677e-02,5.044590205625697621e+01
1.367025296000065282e+00,4.661057128906249680e+00,9.516406249999999345e-02,4.897917350792217661e+01
1.401458176999767602e+00,4.652075195312500355e+00,9.532177734374999711e-02,4.880390740655366955e+01
1.435477269999864802e+00,4.650349121093750426e+00,9.303515625000000067e-02,4.998485850442961009e+01
1.469501011999454931e+00,4.651486816406250391e+00,9.533691406250000000e-02,4.878998719590268962e+01
1.503437366000071052e+00,4.652280273437500391e+00,9.527001953124999978e-02,4.883257394432970244e+01
1.537361091000093438e+00,4.649802246093750036e+00,9.544628906249999489e-02,4.871642776021364085e+01
1.571238169000025664e+00,4.650996093749999893e+00,9.542626953124999645e-02,4.873915868865545065e+01
1.605198856000242813e+00,4.653374023437500284e+00,9.323779296874999678e-02,4.990866766866893300e+01
1.639138099999399856e+00,4.653666992187499574e+00,9.345068359375000022e-02,4.979810540945831576e+01
1.673444946000017808e+00,4.651147460937499645e+00,9.463867187499999667e-02,4.914637292333092233e+01
1.707494909000160987e+00,4.651960449218750071e+00,9.348632812500000389e-02,4.976086388801838467e+01
1.741570148999926460e+00,4.651899414062500071e+00,9.343896484374999978e-02,4.978543396581366665e+01
1.775645703999543912e+00,4.652895507812499609e+00,9.428955078124999500e-02,4.934688381968359039e+01
1.809886422999625211e+00,4.663068847656250071e+00,9.620019531250000033e-02,4.847255073140525639e+01
